-----------------------
  t/c    Airfoil       
-----------------------
 1.000   airfoil_1                       
 0.941   airfoil_2                       
 0.764   airfoil_3                       
 0.577   airfoil_4                       
 0.464   airfoil_5                       
 0.411   airfoil_6                       
 0.367   airfoil_7                       
 0.316   airfoil_8                       
 0.288   airfoil_9                       
 0.247   airfoil_10                      
 0.242   airfoil_11                      
 0.240   airfoil_12                      
 0.240   airfoil_13                      
 0.240   airfoil_14                      
 0.240   airfoil_15                      
-----------------------
 
 
airfoil_1                       Re:  1.00E+06
-----------------------------------
  alfa      cl       cd       cm   
  17.50   0.0000   0.6000  -0.0451
  18.00   0.0000   0.6000  -0.0464
  18.50   0.0000   0.6000  -0.0476
  19.00   0.0000   0.6000  -0.0489
  19.50   0.0000   0.6000  -0.0501
  20.00   0.0000   0.6000  -0.0513
  20.50   0.0000   0.6000  -0.0525
  21.00   0.0000   0.6000  -0.0538
  21.50   0.0000   0.6000  -0.0550
  22.00   0.0000   0.6000  -0.0562
  22.50   0.0000   0.6000  -0.0574
  23.00   0.0000   0.6000  -0.0586
  23.50   0.0000   0.6000  -0.0598
  24.00   0.0000   0.6000  -0.0610
  24.50   0.0000   0.6000  -0.0622
  25.00   0.0000   0.6000  -0.0634
  26.00   0.0000   0.6000  -0.0658
  27.00   0.0000   0.6000  -0.0681
  28.00   0.0000   0.6000  -0.0704
  29.00   0.0000   0.6000  -0.0727
  30.00   0.0000   0.6000  -0.0750
  31.00   0.0000   0.6000  -0.0773
  32.00   0.0000   0.6000  -0.0795
  33.00   0.0000   0.6000  -0.0817
  34.00   0.0000   0.6000  -0.0839
  35.00   0.0000   0.6000  -0.0860
  36.00   0.0000   0.6000  -0.0882
  37.00   0.0000   0.6000  -0.0903
  38.00   0.0000   0.6000  -0.0923
  39.00   0.0000   0.6000  -0.0944
  40.00   0.0000   0.6000  -0.0964
  42.50   0.0000   0.6000  -0.1013
  45.00   0.0000   0.6000  -0.1061
  47.50   0.0000   0.6000  -0.1106
  50.00   0.0000   0.6000  -0.1149
  52.50   0.0000   0.6000  -0.1190
  55.00   0.0000   0.6000  -0.1229
  57.50   0.0000   0.6000  -0.1265
  60.00   0.0000   0.6000  -0.1299
  62.50   0.0000   0.6000  -0.1330
  65.00   0.0000   0.6000  -0.1359
  67.50   0.0000   0.6000  -0.1386
  70.00   0.0000   0.6000  -0.1410
  72.50   0.0000   0.6000  -0.1431
  75.00   0.0000   0.6000  -0.1449
  77.50   0.0000   0.6000  -0.1464
  80.00   0.0000   0.6000  -0.1477
  82.50   0.0000   0.6000  -0.1487
  85.00   0.0000   0.6000  -0.1494
  87.50   0.0000   0.6000  -0.1498
  90.00   0.0000   0.6000  -0.1500
  92.50   0.0000   0.6000  -0.1498
  95.00   0.0000   0.6000  -0.1494
  97.50   0.0000   0.6000  -0.1487
 100.00   0.0000   0.6000  -0.1477
 102.50   0.0000   0.6000  -0.1464
 105.00   0.0000   0.6000  -0.1449
 107.50   0.0000   0.6000  -0.1431
 110.00   0.0000   0.6000  -0.1410
 112.50   0.0000   0.6000  -0.1386
 115.00   0.0000   0.6000  -0.1359
 117.50   0.0000   0.6000  -0.1330
 120.00   0.0000   0.6000  -0.1299
 122.50   0.0000   0.6000  -0.1265
 125.00   0.0000   0.6000  -0.1229
 127.50   0.0000   0.6000  -0.1190
 130.00   0.0000   0.6000  -0.1149
 132.50   0.0000   0.6000  -0.1106
 135.00   0.0000   0.6000  -0.1061
 137.50   0.0000   0.6000  -0.1013
 140.00   0.0000   0.6000  -0.0964
 142.50   0.0000   0.6000  -0.0913
 145.00   0.0000   0.6000  -0.0860
 147.50   0.0000   0.6000  -0.0806
 150.00   0.0000   0.6000  -0.0750
 152.50   0.0000   0.6000  -0.0693
 155.00   0.0000   0.6000  -0.0634
 157.50   0.0000   0.6000  -0.0574
 160.00   0.0000   0.6000  -0.0513
 162.50   0.0000   0.6000  -0.0451
 165.00   0.0000   0.6000  -0.0388
 167.50   0.0000   0.6000  -0.0324
 170.00   0.0000   0.6000  -0.0260
 172.50   0.0000   0.6000  -0.0196
 175.00   0.0000   0.6000  -0.0131
 177.50   0.0000   0.6000  -0.0066
 180.00   0.0000   0.6000   0.0000
-----------------------------------
 
 
airfoil_2                       Re:  1.00E+06
-----------------------------------
  alfa      cl       cd       cm   
-----------------------------------
-180.00   0.0000   0.6000   0.0000
-177.50   0.0000   0.6000   0.0066
-175.00   0.0000   0.6000   0.0131
-172.50   0.0000   0.6000   0.0196
-170.00   0.0000   0.6000   0.0260
-167.50   0.0000   0.6000   0.0324
-165.00   0.0000   0.6000   0.0388
-162.50   0.0000   0.6000   0.0451
-160.00   0.0000   0.6000   0.0513
-157.50   0.0000   0.6000   0.0574
-155.00   0.0000   0.6000   0.0634
-152.50   0.0000   0.6000   0.0693
-150.00   0.0000   0.6000   0.0750
-147.50   0.0000   0.6000   0.0806
-145.00   0.0000   0.6000   0.0860
-142.50   0.0000   0.6000   0.0913
-140.00   0.0000   0.6000   0.0964
-137.50   0.0000   0.6000   0.1013
-135.00   0.0000   0.6000   0.1061
-132.50   0.0000   0.6000   0.1106
-130.00   0.0000   0.6000   0.1149
-127.50   0.0000   0.6000   0.1190
-125.00   0.0000   0.6000   0.1229
-122.50   0.0000   0.6000   0.1265
-120.00   0.0000   0.6000   0.1299
-117.50   0.0000   0.6000   0.1330
-115.00   0.0000   0.6000   0.1359
-112.50   0.0000   0.6000   0.1386
-110.00   0.0000   0.6000   0.1410
