             Time[s]        Azimuth[deg]         Power[Watt]      Axial_Force[N]
              7.0200            353.9969      0.73444851E+06      0.45005152E+06
              7.0939            357.7232      0.73445344E+06      0.45005175E+06
              7.1678              1.4495      0.73445894E+06      0.45005194E+06
              7.2417              5.1757      0.73446461E+06      0.45005212E+06
              7.3156              8.9020      0.73447065E+06      0.45005224E+06
              7.3895             12.6283      0.73447665E+06      0.45005232E+06
              7.4634             16.3546      0.73451552E+06      0.45005235E+06
              7.5373             20.0809      0.73451919E+06      0.45005233E+06
              7.6112             23.8072      0.73452355E+06      0.45005226E+06
              7.6851             27.5334      0.73452630E+06      0.45005215E+06
              7.7590             31.2597      0.73454452E+06      0.45005199E+06
              7.8329             34.9860      0.73454083E+06      0.45005181E+06
              7.9068             38.7123      0.73454341E+06      0.45005145E+06
              7.9807             42.4386      0.73455184E+06      0.45005115E+06
              8.0546             46.1648      0.73454228E+06      0.45005105E+06
              8.1285             49.8911      0.73453712E+06      0.45005086E+06
              8.2024             53.6174      0.73455475E+06      0.45005059E+06
              8.2762             57.3437      0.73455850E+06      0.45005045E+06
              8.3501             61.0700      0.73441927E+06      0.45007916E+06
              8.4240             64.7963      0.73450556E+06      0.45007908E+06
              8.4979             68.5225      0.73449039E+06      0.45007897E+06
              8.5718             72.2488      0.73450475E+06      0.45007883E+06
              8.6457             75.9751      0.73450269E+06      0.45007862E+06
              8.7196             79.7014      0.73450359E+06      0.45007845E+06
              8.7935             83.4277      0.73451085E+06      0.45007818E+06
              8.8674             87.1540      0.73451297E+06      0.45007795E+06
              8.9413             90.8802      0.73450057E+06      0.45007765E+06
              9.0152             94.6065      0.73445975E+06      0.45005118E+06
              9.0891             98.3328      0.73445915E+06      0.45005116E+06
              9.1630            102.0591      0.73443767E+06      0.45005118E+06
              9.2369            105.7854      0.73444025E+06      0.45005115E+06
              9.3108            109.5117      0.73444340E+06      0.45005120E+06
              9.3847            113.2379      0.73444760E+06      0.45005147E+06
              9.4586            116.9642      0.73445238E+06      0.45005170E+06
              9.5325            120.6905      0.73445776E+06      0.45005192E+06
              9.6064            124.4168      0.73446346E+06      0.45005210E+06
              9.6803            128.1431      0.73446932E+06      0.45005224E+06
              9.7542            131.8694      0.73447530E+06      0.45005233E+06
              9.8280            135.5956      0.73451499E+06      0.45005237E+06
              9.9019            139.3219      0.73451825E+06      0.45005237E+06
              9.9758            143.0482      0.73452261E+06      0.45005231E+06
             10.0497            146.7745      0.73452584E+06      0.45005221E+06
             10.1236            150.5008      0.73454980E+06      0.45005210E+06
             10.1975            154.2271      0.73454441E+06      0.45005185E+06
             10.2714            157.9533      0.73454382E+06      0.45005154E+06
             10.3453            161.6796      0.73454391E+06      0.45005122E+06
             10.4192            165.4059      0.73454919E+06      0.45005106E+06
             10.4931            169.1322      0.73453826E+06      0.45005093E+06
             10.5670            172.8585      0.73455449E+06      0.45005069E+06
             10.6409            176.5848      0.73455775E+06      0.45005051E+06
             10.7148            180.3110      0.73441865E+06      0.45007921E+06
             10.7887            184.0373      0.73450571E+06      0.45007913E+06
             10.8626            187.7636      0.73450703E+06      0.45007901E+06
             10.9365            191.4899      0.73450367E+06      0.45007889E+06
             11.0104            195.2162      0.73450272E+06      0.45007868E+06
             11.0843            198.9425      0.73450345E+06      0.45007851E+06
             11.1582            202.6687      0.73450598E+06      0.45007828E+06
             11.2321            206.3950      0.73451243E+06      0.45007802E+06
             11.3059            210.1213      0.73450117E+06      0.45007786E+06
             11.3798            213.8476      0.73445980E+06      0.45005120E+06
             11.4537            217.5739      0.73445896E+06      0.45005117E+06
             11.5276            221.3002      0.73443711E+06      0.45005118E+06
             11.6015            225.0264      0.73443960E+06      0.45005116E+06
             11.6754            228.7527      0.73444259E+06      0.45005114E+06
             11.7493            232.4790      0.73444664E+06      0.45005141E+06
             11.8232            236.2053      0.73445128E+06      0.45005165E+06
             11.8971            239.9316      0.73445658E+06      0.45005187E+06
             11.9710            243.6578      0.73446221E+06      0.45005205E+06
             12.0449            247.3841      0.73446810E+06      0.45005220E+06
             12.1188            251.1104      0.73447402E+06      0.45005230E+06
             12.1927            254.8367      0.73451380E+06      0.45005234E+06
             12.2666            258.5630      0.73451730E+06      0.45005235E+06
             12.3405            262.2893      0.73452148E+06      0.45005231E+06
             12.4144            266.0155      0.73452520E+06      0.45005220E+06
             12.4883            269.7418      0.73452813E+06      0.45005216E+06
             12.5622            273.4681      0.73454592E+06      0.45005183E+06
             12.6361            277.1944      0.73454412E+06      0.45005156E+06
             12.7100            280.9207      0.73454362E+06      0.45005123E+06
             12.7838            284.6470      0.73454955E+06      0.45005106E+06
             12.8577            288.3732      0.73453901E+06      0.45005094E+06
             12.9316            292.0995      0.73455369E+06      0.45005070E+06
             13.0055            295.8258      0.73455668E+06      0.45005051E+06
             13.0794            299.5521      0.73449888E+06      0.45007928E+06
             13.1533            303.2784      0.73442065E+06      0.45007911E+06
             13.2272            307.0047      0.73450617E+06      0.45007899E+06
             13.3011            310.7309      0.73450256E+06      0.45007888E+06
             13.3750            314.4572      0.73449634E+06      0.45007872E+06
             13.4489            318.1835      0.73450304E+06      0.45007850E+06
             13.5228            321.9098      0.73450467E+06      0.45007829E+06
             13.5967            325.6361      0.73450878E+06      0.45007807E+06
             13.6706            329.3624      0.73452093E+06      0.45007781E+06
             13.7445            333.0886      0.73445971E+06      0.45005119E+06
             13.8184            336.8149      0.73445900E+06      0.45005114E+06
             13.8923            340.5412      0.73443644E+06      0.45005114E+06
             13.9662            344.2675      0.73443886E+06      0.45005112E+06
             14.0401            347.9938      0.73444166E+06      0.45005108E+06
             14.1140            351.7201      0.73444551E+06      0.45005132E+06
             14.1879            355.4463      0.73445002E+06      0.45005156E+06
             14.2618            359.1726      0.73445520E+06      0.45005178E+06
             14.3356              2.8989      0.73446082E+06      0.45005198E+06
             14.4095              6.6252      0.73446665E+06      0.45005213E+06
             14.4834             10.3515      0.73447256E+06      0.45005224E+06
             14.5573             14.0778      0.73447864E+06      0.45005231E+06
             14.6312             17.8040      0.73451629E+06      0.45005232E+06
             14.7051             21.5303      0.73452026E+06      0.45005228E+06
             14.7790             25.2566      0.73452442E+06      0.45005219E+06
             14.8529             28.9829      0.73452638E+06      0.45005201E+06
             14.9268             32.7092      0.73454291E+06      0.45005186E+06
             15.0007             36.4355      0.73454458E+06      0.45005158E+06
             15.0746             40.1617      0.73454333E+06      0.45005127E+06
             15.1485             43.8880      0.73455007E+06      0.45005107E+06
             15.2224             47.6143      0.73454004E+06      0.45005095E+06
             15.2963             51.3406      0.73453599E+06      0.45005074E+06
             15.3702             55.0669      0.73455579E+06      0.45005051E+06
             15.4441             58.7932      0.73449874E+06      0.45007927E+06
             15.5180             62.5194      0.73441980E+06      0.45007910E+06
             15.5919             66.2457      0.73450569E+06      0.45007899E+06
             15.6658             69.9720      0.73449202E+06      0.45007888E+06
             15.7397             73.6983      0.73449572E+06      0.45007873E+06
             15.8135             77.4246      0.73450273E+06      0.45007852E+06
             15.8874             81.1508      0.73450373E+06      0.45007832E+06
             15.9613             84.8771      0.73450407E+06      0.45007814E+06
             16.0352             88.6034      0.73451491E+06      0.45007782E+06
             16.1091             92.3297      0.73450107E+06      0.45007756E+06
             16.1830             96.0560      0.73445928E+06      0.45005113E+06
             16.2569             99.7823      0.73442599E+06      0.45005111E+06
             16.3308            103.5085      0.73443830E+06      0.45005111E+06
             16.4047            107.2348      0.73444095E+06      0.45005108E+06
             16.4786            110.9611      0.73444457E+06      0.45005125E+06
             16.5525            114.6874      0.73444895E+06      0.45005150E+06
             16.6264            118.4137      0.73445401E+06      0.45005173E+06
             16.7003            122.1400      0.73445960E+06      0.45005193E+06
             16.7742            125.8662      0.73446535E+06      0.45005209E+06
             16.8481            129.5925      0.73447127E+06      0.45005221E+06
             16.9220            133.3188      0.73447731E+06      0.45005229E+06
             16.9959            137.0451      0.73451554E+06      0.45005231E+06
             17.0698            140.7714      0.73451921E+06      0.45005228E+06
             17.1437            144.4977      0.73452377E+06      0.45005220E+06
             17.2176            148.2239      0.73452622E+06      0.45005208E+06
             17.2914            151.9502      0.73454213E+06      0.45005191E+06
             17.3653            155.6765      0.73453643E+06      0.45005177E+06
             17.4392            159.4028      0.73454312E+06      0.45005134E+06
             17.5131            163.1291      0.73455078E+06      0.45005109E+06
             17.5870            166.8554      0.73454099E+06      0.45005097E+06
             17.6609            170.5816      0.73453626E+06      0.45005078E+06
             17.7348            174.3079      0.73455506E+06      0.45005052E+06
             17.8087            178.0342      0.73455908E+06      0.45005038E+06
             17.8826            181.7605      0.73441943E+06      0.45007910E+06
             17.9565            185.4868      0.73450541E+06      0.45007901E+06
             18.0304            189.2131      0.73449090E+06      0.45007890E+06
             18.1043            192.9393      0.73449524E+06      0.45007876E+06
             18.1782            196.6656      0.73450242E+06      0.45007854E+06
             18.2521            200.3919      0.73450337E+06      0.45007835E+06
             18.3260            204.1182      0.73451524E+06      0.45007802E+06
             18.3999            207.8445      0.73451340E+06      0.45007782E+06
             18.4738            211.5708      0.73450042E+06      0.45007755E+06
             18.5477            215.2970      0.73445927E+06      0.45005112E+06
             18.6216            219.0233      0.73445827E+06      0.45005109E+06
             18.6955            222.7496      0.73443767E+06      0.45005110E+06
             18.7694            226.4759      0.73444027E+06      0.45005107E+06
             18.8432            230.2022      0.73444368E+06      0.45005118E+06
             18.9171            233.9285      0.73444793E+06      0.45005144E+06
             18.9910            237.6547      0.73445288E+06      0.45005167E+06
             19.0649            241.3810      0.73445838E+06      0.45005187E+06
             19.1388            245.1073      0.73446407E+06      0.45005205E+06
             19.2127            248.8336      0.73447000E+06      0.45005218E+06
             19.2866            252.5599      0.73447600E+06      0.45005226E+06
             19.3605            256.2862      0.73451497E+06      0.45005229E+06
             19.4344            260.0124      0.73451862E+06      0.45005228E+06
             19.5083            263.7387      0.73452300E+06      0.45005221E+06
             19.5822            267.4650      0.73452582E+06      0.45005210E+06
             19.6561            271.1913      0.73454455E+06      0.45005194E+06
             19.7300            274.9176      0.73454078E+06      0.45005176E+06
             19.8039            278.6438      0.73454304E+06      0.45005140E+06
             19.8778            282.3701      0.73455154E+06      0.45005110E+06
             19.9517            286.0964      0.73454199E+06      0.45005099E+06
             20.0256            289.8227      0.73453689E+06      0.45005081E+06
             20.0995            293.5490      0.73455437E+06      0.45005054E+06
             20.1734            297.2753      0.73455805E+06      0.45005040E+06
             20.2473            301.0015      0.73441888E+06      0.45007910E+06
             20.3211            304.7278      0.73450519E+06      0.45007902E+06
             20.3950            308.4541      0.73448997E+06      0.45007891E+06
             20.4689            312.1804      0.73450426E+06      0.45007877E+06
             20.5428            315.9067      0.73450221E+06      0.45007856E+06
             20.6167            319.6330      0.73450311E+06      0.45007838E+06
             20.6906            323.3592      0.73451036E+06      0.45007811E+06
             20.7645            327.0855      0.73451242E+06      0.45007788E+06
             20.8384            330.8118      0.73450007E+06      0.45007758E+06
             20.9123            334.5381      0.73445924E+06      0.45005111E+06
             20.9862            338.2644      0.73445858E+06      0.45005108E+06
             21.0601            341.9907      0.73443708E+06      0.45005110E+06
             21.1340            345.7169      0.73443963E+06      0.45005107E+06
             21.2079            349.4432      0.73444282E+06      0.45005112E+06
             21.2818            353.1695      0.73444699E+06      0.45005138E+06
             21.3557            356.8958      0.73445176E+06      0.45005162E+06
             21.4296              0.6221      0.73445712E+06      0.45005183E+06
             21.5035              4.3484      0.73446281E+06      0.45005201E+06
             21.5774              8.0746      0.73446873E+06      0.45005215E+06
             21.6513             11.8009      0.73447470E+06      0.45005224E+06
             21.7252             15.5272      0.73451438E+06      0.45005228E+06
             21.7990             19.2535      0.73451765E+06      0.45005228E+06
             21.8729             22.9798      0.73452198E+06      0.45005222E+06
             21.9468             26.7061      0.73452525E+06      0.45005211E+06
             22.0207             30.4323      0.73454975E+06      0.45005201E+06
             22.0946             34.1586      0.73454410E+06      0.45005175E+06
             22.1685             37.8849      0.73454329E+06      0.45005145E+06
             22.2424             41.6112      0.73454333E+06      0.45005112E+06
             22.3163             45.3375      0.73454868E+06      0.45005097E+06
             22.3902             49.0638      0.73453774E+06      0.45005084E+06
