 Azi   Fax[N]   Torque[Nm]   Fn25[Npm]   Fn35[Npm]   Fn60[Npm]   Fn82[Npm]   Fn92[Npm]   Ft25[Npm]   Ft35[Npm]   Ft60[Npm]   Ft82[Npm]   Ft92[Npm] 
 1.05988117669807   871.310773150535   60.1193610694916   49.2478192457816   89.626976322964   152.912848546289   265.050608880506   287.121768319981   7.22584283245797   4.19866351816988   3.53895594283765   8.85754823142154   10.0869545735653 
 2.94776619225871   871.791900624155   60.2811872446689   49.2564104462353   89.9181983769335   153.096958489328   264.2555776543   285.4549645794   7.2223914020449   4.163517417497   3.55677461300811   8.76301657892249   9.81570479935895 
 4.99834487199126   871.911681932999   60.3197573586363   49.2553405202993   90.0946927083671   153.324947428788   263.248450664299   283.783861444085   7.20844152421414   4.16485018359241   3.57566362087003   8.62535224212979   9.58317160290486 
 7.05391466966489   871.921478960178   60.3852208163882   49.3581439033093   90.2994602046246   153.537451506001   262.278223405729   282.204724062519   7.19566979528474   4.15685117887494   3.59788367824019   8.49561592047882   9.34088098996974 
 8.93871659727239   872.471514885129   60.5630751726031   49.3518209574475   90.4744341007052   153.838264414785   261.2729248553   280.79688224195   7.12748611040484   4.09483729884317   3.61083539135518   8.35667721832301   9.12360510098104 
 10.9904432090597   872.36354961539   60.582927440568   49.6596616352248   90.5201050221444   154.047636852638   260.499356336491   279.516636268944   7.10293457768067   4.11287284247223   3.62735096529727   8.26295513154418   8.93096697967957 
 13.0549845950536   872.554790126212   60.6942576079434   49.6747216148712   90.902379280117   154.207236151976   259.453157517721   277.927324304668   7.06228594061959   4.08534786767582   3.61912298588677   8.14604497853827   8.7019881365033 
 14.9611433868602   872.578219397295   60.7471071326272   49.7873345668524   90.9844320038394   154.18767655267   258.836932380421   276.796079362612   7.02718816128501   4.06482345065379   3.61407820273668   8.02994047720123   8.51207844069163 
 17.0025019862645   872.616772489101   60.7728468501765   49.8607580155627   91.148819508553   154.285953561247   258.181490790226   275.753707604176   7.02023497625079   4.02082686524462   3.60114204638292   7.94154219088689   8.33253557182026 
 19.0470993371524   872.26253191944   60.74539478229   49.9736341737893   91.1678559150727   154.259147885668   257.4389406043   274.504638838897   6.93242211964299   4.00465305021833   3.54801769211463   7.77448008919262   8.12058696454351 
 20.9442315776762   872.332296166497   60.8506037271567   50.2288321273065   91.2489778059931   154.26515781354   256.867818016745   273.458741968797   6.84489511877202   3.94213033056981   3.50703216542032   7.67661827889649   7.9724274781719 
 23.003902565132   871.774958762735   60.7516551922463   50.4988066052268   91.3161183939561   154.100807274381   256.169885650641   272.591093131374   6.83349050059695   3.95368983935264   3.45503481860001   7.58145479638362   7.83882637340307 
 25.0617803155052   871.559194813616   60.7041067534482   50.8191047847975   91.4044262759952   154.024684786375   255.70177649793   271.675445002676   6.72852048002435   3.90423792966966   3.39116572978988   7.47639429258015   7.63294970651606 
 26.9631173802874   871.301456047318   60.7024829358172   50.6871176286061   91.6291142940411   153.998500599447   255.267798681475   270.926755956679   6.6873263932928   3.84103526165698   3.32973936702559   7.39531038976851   7.50600714691397 
 29.00734559817   870.833154257929   60.6376952650964   50.9568178016947   91.6220902486617   153.802458027674   255.201623013354   270.322767105023   6.62186030580309   3.8328951426242   3.29316072375418   7.31165707609426   7.39014091961094 
 31.0491998205048   870.463682902468   60.583944979444   51.0257762133183   91.828701096187   153.747182460422   254.697393769552   269.65822293213   6.61857649831774   3.80737476696238   3.22351110276886   7.21451663676073   7.24782581437829 
 32.9765840612736   870.264912161667   60.5504507398724   50.9146204022691   92.1667778907072   153.839658005035   254.376193122591   269.008484886146   6.6085809858998   3.77687710591303   3.19472365228162   7.07073069867711   7.12518928186879 
 35.0242542878671   869.949305167435   60.533883908491   50.8955270030755   92.1625985156793   153.842045073587   254.103337960842   268.555578068845   6.54366353622378   3.72805840453574   3.13643820800857   6.9865887886064   7.04118330363538 
 37.0568980364211   869.413791495618   60.4693563643535   50.9814941530475   92.1874048101388   153.823440725782   253.557880487321   267.874682374022   6.46844465544852   3.69113050531787   3.10353884228896   6.86207586714236   6.92259789644319 
 38.968839668478   869.005375422168   60.3974283833569   50.911254567247   92.2630701074911   153.841922071206   253.299053404932   267.40739108953   6.41850954134618   3.64344943868414   3.05684848479377   6.77799761923143   6.77727313555192 
 41.0042082464252   868.466386166   60.3751227257405   50.8755401951782   92.483820000903   153.939801513298   253.031418641134   266.977544041234   6.42809809348341   3.63706272671688   3.0329384166069   6.68024983367363   6.69173191508865 
 43.0514441371146   868.254962199146   60.2480697782686   50.8110782304858   92.7599266072888   153.928266366456   253.018677984485   266.499811366512   6.39365590018717   3.59003174191532   2.97090585440371   6.57101147994635   6.55461614478889 
 44.9822141657526   867.556974102658   60.2354670364254   50.9913302669732   92.6231950125245   154.005522226711   252.703772743182   266.006682260179   6.304637379608   3.54329789819593   2.94366141574169   6.5081803730529   6.44447352387182 
 47.0203548210416   867.337392948209   60.2318001192672   50.8963214644929   92.7999672502084   154.132585886655   252.738548472382   265.841012074869   6.30367236393381   3.52214341988517   2.89209893526754   6.4347007712431   6.34387248280201 
 49.0476149162432   866.935566241763   60.2354464640167   51.0721468006425   92.7914423140195   154.228718888554   252.739302566368   265.582231906209   6.19227559208846   3.51423964798255   2.85348509183677   6.38357685594708   6.27438008894173 
 50.9672384685695   866.98276553336   60.228345626758   51.1394315346258   93.1188015294522   154.425969980124   252.69138946749   265.393019823071   6.19726379107623   3.46814997192451   2.80775240645644   6.33043362262937   6.17888075253592 
