Azi Fn25[Npm] Fn35[Npm] Fn60[Npm] Fn82[Npm] Fn92[Npm] Ft25[Npm] Ft35[Npm] Ft60[Npm] Ft82[Npm] Ft92[Npm]
1.00307629228662 48.0520770004821 72.5430635507959 135.742782619985 239.242627341545 252.654791343261 5.23697079641025 3.4913494602104 2.27897138668816 1.68495305144004 5.64890609477696
2.92520971692033 48.3973494530738 73.0534994039961 135.82061116212 237.916465256187 250.509938246484 5.22393580960574 3.4545519250629 2.25621574166394 1.51527181588949 5.36559170963262
4.98097118367681 48.6904906541283 73.3307499103066 135.843295994101 236.628152148774 248.097304214705 5.18336934946741 3.44566885155751 2.2638423275679 1.35051139765041 5.01943408277066
7.00681248870947 48.9892869371004 74.0894952847286 135.845540248874 235.430734272472 245.983433493169 5.14998276320877 3.45940094863083 2.24304721127022 1.22656197887632 4.73641304298884
8.92807337793884 49.174290882354 74.1338441671543 135.99465754603 234.155754327696 244.125640742718 5.12419692265091 3.42947546200362 2.22746965463395 1.10533969827486 4.48957181282843
10.9783386412316 49.3896755313865 74.3784651360927 136.133498951362 233.451622758371 242.173114922697 5.1041605350499 3.40722066123484 2.21560777446109 0.987994835832651 4.19984058534998
13.0303903330866 49.6390421837396 74.6475119837629 136.238614787861 232.59061445802 240.543698386454 5.01075800922066 3.40060301850931 2.17421874354117 0.866520131535678 3.94438389446345
14.9433847540819 49.7880054446776 74.813427477898 136.23460200579 231.509862681124 239.009697681223 4.95070206916634 3.35868092412544 2.16375252597707 0.718154819744259 3.77967400597527
16.9801852080073 49.7243599270531 75.5350500458469 136.117671286596 230.877588513657 237.606990393463 4.91577178278244 3.28837336751355 2.11409022408575 0.60517005162887 3.59614590871976
19.0227643022179 50.0002326502245 75.7003650387902 136.237305718693 230.578296008066 236.732728810057 4.85271107474653 3.25786915829853 2.07555629903518 0.502586223015765 3.43174923447651
20.9398987864022 49.9582985328057 75.9468893066335 136.224649563602 230.118988456142 235.64531638227 4.77181346972881 3.21130283446961 2.02475520814128 0.402177372602094 3.28955500231061
22.9775947351734 50.2361897528627 75.9464131713467 136.194715887286 229.826833274257 234.897351197317 4.67501288150226 3.19118682225456 1.9672878960581 0.298553596462645 3.1490832400717
25.0272935183658 50.3065133436444 76.1949279325541 136.313669793906 229.499669874326 233.988889509362 4.57518300341846 3.11879335033994 1.92144528102116 0.219428576051742 3.03953831970357
26.9531849027764 50.0633240552747 76.5806284044494 136.414226357548 229.264881560824 233.570944691164 4.51742666959611 3.05324979717693 1.88148368276522 0.171690088695043 2.95601306110528
28.9901196979679 50.0132678039488 76.816766275616 136.483281843787 229.004185191751 233.220431634487 4.41933756589617 2.97968785513197 1.84059214237314 0.0579985853947761 2.88937701143888
31.0238171020302 50.0444044137901 77.0836671794257 136.543100099587 229.101754202662 233.122231204111 4.34422807235544 2.92248424098853 1.81096047729509 0.0225218988536117 2.82669446301828
32.9409509775387 50.0845383501937 77.3783436935605 136.560153837088 229.193878702495 232.966558357859 4.22488804293053 2.8557073439832 1.76357989706044 -0.0811814857534617 2.76441430584759
34.9778669500186 50.0052349178493 77.5381332861001 136.683673202414 229.331334881127 233.079297607909 4.11980615052647 2.77931631300197 1.71593600416654 -0.150327686792712 2.69914672124708
37.0180680803416 49.9903212587588 77.4619866517196 136.76255062964 229.668700963012 233.345907358301 3.98693539628792 2.70918125998202 1.67222616758841 -0.230301808054798 2.619319239834
38.9634528248457 50.1824156698896 77.4179871110248 137.024113649303 229.888010961992 233.223846537037 3.89408273115468 2.66522338890096 1.62853863918527 -0.256090671652808 2.58782500720676
41.0063491971273 50.1627493843378 77.7742021318973 137.300925225391 230.195088761812 233.53725016204 3.78641423376907 2.62178275967366 1.57236001657267 -0.335322354441724 2.52029650636576
43.0289363617133 50.2549920369298 78.1319233747951 137.637568997012 230.708269814797 233.695941936382 3.69316484317018 2.50574546187249 1.49550482138215 -0.396592318195168 2.49519653763254
44.9492222163872 50.1968011823075 78.5404645866234 137.958825124822 231.110335009359 234.050593224056 3.60346766899256 2.43167580670628 1.46081502210882 -0.435236706418595 2.43553566534126
46.9934429421208 50.1361778589882 78.9318922327998 138.240436349952 231.817210045042 234.623141919423 3.5139622632219 2.35396005737647 1.41841644394599 -0.487950444896251 2.39576584388433
49.0246762236333 50.2869505470423 79.2280091191417 138.639444065083 232.25729496166 234.844949448238 3.43584122602233 2.31916725396503 1.38211600995726 -0.527643912431036 2.36596045619931
50.942853213978 50.403757856846 79.5026004355209 139.044608992792 233.410050954477 235.69139625003 3.32971340171952 2.23833302559269 1.32703486851381 -0.673098859533754 2.23039384105232
52.9960603039372 50.3866734284275 79.7101499467343 139.519775245253 234.007272006557 236.081953639469 3.23560610361847 2.14635887917919 1.28535207865352 -0.73334807698466 2.22211485449293
55.0447648678378 50.4494709721844 80.2335705830815 140.055520760333 234.646128383669 236.56053456652 3.17133353162898 2.10684749992261 1.24917900655479 -0.805716261078905 2.14905194474069
56.953257466726 50.8318601385122 80.5772877026926 140.530661496659 235.094822244673 236.934542991542 3.08107547566685 2.058155176559 1.2177419258873 -0.862602565954182 2.09348809146695
58.9918878203304 51.2097054211498 80.8175870074251 141.076232486517 235.747202406887 237.333796475744 2.96155434612657 2.00495922057788 1.13518520727201 -0.898427459416976 2.02584477213977
61.0450228786625 51.4882605623091 81.3682869481168 141.535631846428 236.478581457642 237.848141800384 2.86960145301602 1.96000025089082 1.09818071096002 -1.00313357030249 1.93450469289883
