             Time[s]        Azimuth[deg]         Power[Watt]      Axial_Force[N]
             14.7696             10.0000      0.31759700E+06      0.95564815E+05
             14.9051             20.0000      0.31760660E+06      0.95564790E+05
             15.0407             30.0000      0.31761070E+06      0.95564774E+05
             15.1762             40.0000      0.31759648E+06      0.95564736E+05
             15.3117             50.0000      0.31760608E+06      0.95564713E+05
             15.4472             60.0000      0.31761019E+06      0.95564699E+05
             15.5827             70.0000      0.31759599E+06      0.95564663E+05
             15.7182             80.0000      0.31760560E+06      0.95564641E+05
             15.8537             90.0000      0.31760971E+06      0.95564628E+05
             15.9892            100.0000      0.31759552E+06      0.95564593E+05
             16.1247            110.0000      0.31760514E+06      0.95564572E+05
             16.2602            120.0000      0.31760926E+06      0.95564561E+05
             16.3957            130.0000      0.31759508E+06      0.95564527E+05
             16.5312            140.0000      0.31760471E+06      0.95564508E+05
             16.6667            150.0000      0.31760884E+06      0.95564498E+05
             16.8022            160.0000      0.31759466E+06      0.95564465E+05
             16.9377            170.0000      0.31760430E+06      0.95564447E+05
             17.0732            180.0000      0.31760844E+06      0.95564438E+05
             17.2087            190.0000      0.31759427E+06      0.95564407E+05
             17.3442            200.0000      0.31760391E+06      0.95564390E+05
             17.4797            210.0000      0.31760806E+06      0.95564382E+05
             17.6152            220.0000      0.31759390E+06      0.95564351E+05
             17.7507            230.0000      0.31760355E+06      0.95564335E+05
             17.8862            240.0000      0.31760770E+06      0.95564328E+05
             18.0217            250.0000      0.31759355E+06      0.95564299E+05
             18.1572            260.0000      0.31760321E+06      0.95564284E+05
             18.2927            270.0000      0.31760737E+06      0.95564278E+05
             18.4282            280.0000      0.31759322E+06      0.95564250E+05
             18.5637            290.0000      0.31760288E+06      0.95564236E+05
             18.6992            300.0000      0.31760705E+06      0.95564231E+05
             18.8347            310.0000      0.31759291E+06      0.95564203E+05
             18.9702            320.0000      0.31760258E+06      0.95564190E+05
             19.1057            330.0000      0.31760675E+06      0.95564186E+05
             19.2412            340.0000      0.31759261E+06      0.95564160E+05
             19.3767            350.0000      0.31760229E+06      0.95564147E+05
             19.5122            360.0000      0.31760646E+06      0.95564144E+05
             19.6477             10.0000      0.31759233E+06      0.95564118E+05
             19.7832             20.0000      0.31760201E+06      0.95564107E+05
             19.9187             30.0000      0.31760619E+06      0.95564104E+05
             20.0542             40.0000      0.31759207E+06      0.95564079E+05
             20.1897             50.0000      0.31760176E+06      0.95564068E+05
             20.3252             60.0000      0.31760594E+06      0.95564066E+05
             20.4607             70.0000      0.31759182E+06      0.95564042E+05
             20.5962             80.0000      0.31760151E+06      0.95564032E+05
             20.7317             90.0000      0.31760570E+06      0.95564031E+05
             20.8672            100.0000      0.31759159E+06      0.95564007E+05
             21.0027            110.0000      0.31760128E+06      0.95563998E+05
             21.1382            120.0000      0.31760547E+06      0.95563997E+05
             21.2737            130.0000      0.31759137E+06      0.95563974E+05
             21.4092            140.0000      0.31760106E+06      0.95563966E+05
             21.5447            150.0000      0.31760526E+06      0.95563965E+05
             21.6802            160.0000      0.31759116E+06      0.95563943E+05
             21.8157            170.0000      0.31760086E+06      0.95563935E+05
             21.9512            180.0000      0.31760506E+06      0.95563936E+05
             22.0867            190.0000      0.31759096E+06      0.95563914E+05
             22.2222            200.0000      0.31760067E+06      0.95563906E+05
             22.3577            210.0000      0.31760487E+06      0.95563907E+05
             22.4932            220.0000      0.31759077E+06      0.95563886E+05
             22.6287            230.0000      0.31760048E+06      0.95563879E+05
             22.7642            240.0000      0.31760469E+06      0.95563881E+05
             22.8997            250.0000      0.31759060E+06      0.95563860E+05
             23.0352            260.0000      0.31760031E+06      0.95563853E+05
             23.1707            270.0000      0.31760452E+06      0.95563856E+05
             23.3062            280.0000      0.31759043E+06      0.95563835E+05
             23.4417            290.0000      0.31760015E+06      0.95563829E+05
             23.5772            300.0000      0.31760436E+06      0.95563832E+05
             23.7127            310.0000      0.31759027E+06      0.95563812E+05
             23.8482            320.0000      0.31759999E+06      0.95563806E+05
             23.9837            330.0000      0.31760421E+06      0.95563809E+05
             24.1192            340.0000      0.31759013E+06      0.95563790E+05
             24.2547            350.0000      0.31759985E+06      0.95563785E+05
             24.3902            360.0000      0.31760406E+06      0.95563788E+05
             24.5257             10.0000      0.31758999E+06      0.95563769E+05
             24.6612             20.0000      0.31759971E+06      0.95563764E+05
             24.7967             30.0000      0.31760393E+06      0.95563768E+05
             24.9322             40.0000      0.31758985E+06      0.95563750E+05
             25.0678             50.0000      0.31759958E+06      0.95563745E+05
             25.2033             60.0000      0.31760380E+06      0.95563749E+05
             25.3388             70.0000      0.31758973E+06      0.95563731E+05
             25.4743             80.0000      0.31759946E+06      0.95563727E+05
             25.6098             90.0000      0.31760368E+06      0.95563731E+05
             25.7453            100.0000      0.31758961E+06      0.95563714E+05
             25.8808            110.0000      0.31759934E+06      0.95563710E+05
             26.0163            120.0000      0.31760357E+06      0.95563715E+05
             26.1518            130.0000      0.31758950E+06      0.95563697E+05
             26.2873            140.0000      0.31759923E+06      0.95563694E+05
             26.4228            150.0000      0.31760346E+06      0.95563699E+05
             26.5583            160.0000      0.31758939E+06      0.95563682E+05
             26.6938            170.0000      0.31759913E+06      0.95563678E+05
             26.8293            180.0000      0.31760336E+06      0.95563684E+05
             26.9648            190.0000      0.31758929E+06      0.95563667E+05
             27.1003            200.0000      0.31759903E+06      0.95563664E+05
             27.2358            210.0000      0.31760326E+06      0.95563670E+05
             27.3713            220.0000      0.31758920E+06      0.95563653E+05
             27.5068            230.0000      0.31759894E+06      0.95563650E+05
             27.6423            240.0000      0.31760317E+06      0.95563656E+05
             27.7778            250.0000      0.31758911E+06      0.95563640E+05
             27.9133            260.0000      0.31759885E+06      0.95563637E+05
             28.0488            270.0000      0.31760309E+06      0.95563644E+05
             28.1843            280.0000      0.31758903E+06      0.95563627E+05
             28.3198            290.0000      0.31759877E+06      0.95563625E+05
             28.4553            300.0000      0.31760300E+06      0.95563632E+05
             28.5908            310.0000      0.31758895E+06      0.95563616E+05
             28.7263            320.0000      0.31759869E+06      0.95563614E+05
             28.8618            330.0000      0.31760293E+06      0.95563620E+05
             28.9973            340.0000      0.31758887E+06      0.95563605E+05
             29.1328            350.0000      0.31759862E+06      0.95563603E+05
             29.2683            360.0000      0.31760286E+06      0.95563610E+05
             29.4038             10.0000      0.31758880E+06      0.95563594E+05
             29.5393             20.0000      0.31759855E+06      0.95563593E+05
             29.6748             30.0000      0.31760279E+06      0.95563600E+05
             29.8103             40.0000      0.31758874E+06      0.95563584E+05
             29.9458             50.0000      0.31759848E+06      0.95563583E+05
             30.0813             60.0000      0.31760272E+06      0.95563590E+05
