Fy03	Fy05	Fy08	Fy10
408.708038330078	747.323547363281	1254.52233886719	1350.79711914062
424.994171142578	793.895568847656	1263.01184082031	1378.2529296875
428.431091308594	758.153015136719	1259.23559570312	1327.04711914062
421.329559326172	760.858764648438	1229.13220214844	1380.23950195312
441.384735107422	772.088806152344	1236.48571777344	1373.35400390625
453.626495361328	791.123413085938	1256.96789550781	1350.12512207031
459.733459472656	781.768798828125	1264.08386230469	1304.08825683594
443.985778808594	809.975036621094	1212.49426269531	1291.62048339844
460.857055664062	799.458374023438	1179.71252441406	1243.84240722656
452.768218994141	790.243713378906	1153.646484375	1290.7705078125
468.746032714844	799.02587890625	1161.10485839844	1262.61022949219
456.519866943359	785.046203613281	1179.35815429688	1242.3837890625
462.742309570312	761.167663574219	1203.08618164062	1267.84118652344
455.099212646484	798.754211425781	1214.18103027344	1281.40380859375
467.328430175781	685.552490234375	1268.25927734375	1296.34899902344
478.342895507812	737.737426757812	1228.68469238281	1310.64770507812
486.490692138672	745.641662597656	1229.94702148438	1316.74072265625
480.244537353516	809.542358398438	1239.74450683594	1310.70007324219
497.592468261719	793.044006347656	1182.12182617188	1284.3271484375
498.672546386719	838.34130859375	1140.98486328125	1219.50793457031
512.650024414062	808.876831054688	1104.0771484375	1204.46643066406
522.32763671875	818.623229980469	1144.47607421875	1211.59704589844
518.881286621094	854.77294921875	1112.86877441406	1218.06726074219
511.85595703125	778.570007324219	1081.95288085938	1211.37854003906
519.526489257812	836.028930664062	1078.51013183594	1219.765625
532.926025390625	836.562805175781	1094.0986328125	1244.05725097656
524.425231933594	783.953247070312	1099.265625	1260.66052246094
540.121826171875	839.023498535156	1087.50219726562	1223.51721191406
523.428833007812	842.960388183594	1084.23059082031	1225.72827148438
543.383666992188	831.585876464844	1066.29028320312	1247.16772460938
528.9970703125	846.004577636719	1080.47985839844	1258.20202636719
550.022033691406	887.31884765625	1138.12145996094	1178.88940429688
537.201538085938	846.897033691406	1145.84155273438	1170.85668945312
557.770568847656	882.477966308594	1169.58764648438	1144.25158691406
553.423400878906	885.511108398438	1242.81103515625	1151.65771484375
552.157592773438	899.4560546875	1260.10815429688	1151.69677734375
555.183166503906	807.555847167969	1261.6875	1142.2607421875
555.289489746094	907.280517578125	1294.31286621094	1114.17102050781
561.205871582031	897.291320800781	1286.01550292969	1169.13659667969
570.93212890625	921.581298828125	1305.64990234375	1240.22338867188
556.315368652344	921.323974609375	1337.73071289062	1257.71911621094
549.345031738281	825.359497070312	1340.79455566406	1295.46154785156
550.748352050781	907.568115234375	1378.16162109375	1288.2919921875
544.665161132812	923.260864257812	1391.27954101562	1324.35119628906
545.938293457031	914.744812011719	1394.66528320312	1380.42858886719
542.467651367188	925.627197265625	1399.02478027344	1403.53576660156
553.544738769531	903.942932128906	1394.87194824219	1372.34509277344
548.817565917969	900.521606445312	1427.38146972656	1375.11657714844
562.154602050781	911.263732910156	1417.62060546875	1421.61059570312
559.132385253906	914.774108886719	1420.37451171875	1363.41589355469
580.460510253906	959.096740722656	1427.80139160156	1346.8056640625
576.939147949219	953.708618164062	1417.54577636719	1386.98400878906
577.351867675781	960.297790527344	1444.27111816406	1317.82421875
574.440246582031	900.14501953125	1424.18383789062	1308.76794433594
594.674926757812	960.556945800781	1436.65832519531	1349.12243652344
572.620910644531	954.405578613281	1404.99096679688	1374.83911132812
578.230224609375	941.16357421875	1380.80212402344	1360.90759277344
571.459045410156	893.515869140625	1353.11694335938	1350.18518066406
567.293334960938	955.317932128906	1328.45739746094	1275.53076171875
564.372314453125	944.879577636719	1316.79602050781	1289.84741210938
563.049865722656	937.058654785156	1295.0927734375	1290.28332519531
563.452758789062	896.917053222656	1280.45666503906	1322.94543457031
559.915771484375	943.958435058594	1295.29895019531	1402.83752441406
562.156311035156	950.966003417969	1298.21691894531	1352.52685546875
571.203125	925.273254394531	1282.96337890625	1345.34228515625
568.923034667969	885.595520019531	1215.57580566406	1264.78503417969
570.605224609375	895.078002929688	1182.95654296875	1222.84423828125
565.951599121094	895.2373046875	1152.6015625	1192.71594238281
541.034912109375	859.991882324219	1137.77587890625	1196.59631347656
527.842590332031	838.431518554688	1119.51550292969	1219.43359375
506.670196533203	863.545043945312	1116.94201660156	1207.58581542969
492.951080322266	844.722961425781	1180.78247070312	1182.75158691406
480.369079589844	838.57861328125	1166.32739257812	1133.16271972656
470.350860595703	777.237121582031	1139.79626464844	1140.23693847656
457.754486083984	813.276672363281	1087.71789550781	1139.90515136719
448.825500488281	794.324584960938	1076.29565429688	1163.24658203125
444.538940429688	795.566223144531	1070.65478515625	1164.68920898438
449.2373046875	767.523254394531	1080.94128417969	1158.35791015625
443.259094238281	778.509399414062	1065.99865722656	1208.65466308594
442.448974609375	762.534851074219	1062.40185546875	1239.091796875
433.297180175781	765.734741210938	1050.90698242188	1208.75561523438
434.706420898438	770.602844238281	1044.62902832031	1181.50573730469
431.878601074219	780.589416503906	1020.83953857422	1199.64208984375
430.292816162109	719.518249511719	1030.75903320312	1216.3154296875
431.379150390625	753.330261230469	988.388488769531	1151.12145996094
438.608795166016	727.530151367188	1006.44116210938	1096.48876953125
441.846405029297	748.944519042969	1066.63879394531	1144.36010742188
439.932098388672	780.412170410156	1078.95141601562	1117.08215332031
444.593841552734	764.408203125	1110.55773925781	1092.76147460938
447.652526855469	776.064697265625	1059.69177246094	1072.93347167969
449.7783203125	769.332580566406	1050.78271484375	1111.60107421875
448.982391357422	764.04345703125	1012.72149658203	1101.55383300781
461.109252929688	765.723327636719	1009.62261962891	1080.89440917969
449.548461914062	786.812744140625	1026.21801757812	1062.86364746094
451.615814208984	767.599243164062	1059.47900390625	1073.97766113281
444.709320068359	734.912048339844	1088.44299316406	1092.39990234375
435.418212890625	792.209289550781	1112.83190917969	1108.08044433594
439.725982666016	738.380615234375	1130.93786621094	1099.62670898438
446.876892089844	739.526977539062	1135.68420410156	1125.80383300781
438.498779296875	726.474792480469	1146.83349609375	1159.822265625
444.446990966797	752.147705078125	1154.28247070312	1149.7197265625
438.903869628906	728.530639648438	1147.82153320312	1162.04113769531
436.386657714844	727.000122070312	1177.54931640625	1187.63049316406
436.281768798828	757.365600585938	1196.96081542969	1199.75036621094
439.925415039062	772.198303222656	1154.68176269531	1225.44970703125
439.812469482422	751.355407714844	1155.06811523438	1260.49353027344
451.841552734375	784.741638183594	1175.86389160156	1302.78442382812
457.632934570312	810.791015625	1190.7890625	1298.29541015625
