             Time[s]        Azimuth[deg]         Power[Watt]      Axial_Force[N]
             14.7696             10.0000      0.31546595E+06      0.97129865E+05
             14.9051             20.0000      0.31546871E+06      0.97129882E+05
             15.0407             30.0000      0.31546724E+06      0.97129876E+05
             15.1762             40.0000      0.31546583E+06      0.97129848E+05
             15.3117             50.0000      0.31546859E+06      0.97129865E+05
             15.4472             60.0000      0.31546713E+06      0.97129859E+05
             15.5827             70.0000      0.31546572E+06      0.97129831E+05
             15.7182             80.0000      0.31546848E+06      0.97129848E+05
             15.8537             90.0000      0.31546702E+06      0.97129843E+05
             15.9892            100.0000      0.31546562E+06      0.97129815E+05
             16.1247            110.0000      0.31546838E+06      0.97129833E+05
             16.2602            120.0000      0.31546692E+06      0.97129828E+05
             16.3957            130.0000      0.31546552E+06      0.97129800E+05
             16.5312            140.0000      0.31546829E+06      0.97129818E+05
             16.6667            150.0000      0.31546683E+06      0.97129814E+05
             16.8022            160.0000      0.31546543E+06      0.97129786E+05
             16.9377            170.0000      0.31546819E+06      0.97129804E+05
             17.0732            180.0000      0.31546674E+06      0.97129800E+05
             17.2087            190.0000      0.31546534E+06      0.97129773E+05
             17.3442            200.0000      0.31546811E+06      0.97129791E+05
             17.4797            210.0000      0.31546666E+06      0.97129787E+05
             17.6152            220.0000      0.31546525E+06      0.97129760E+05
             17.7507            230.0000      0.31546803E+06      0.97129779E+05
             17.8862            240.0000      0.31546657E+06      0.97129775E+05
             18.0217            250.0000      0.31546518E+06      0.97129748E+05
             18.1572            260.0000      0.31546795E+06      0.97129767E+05
             18.2927            270.0000      0.31546650E+06      0.97129764E+05
             18.4282            280.0000      0.31546510E+06      0.97129737E+05
             18.5637            290.0000      0.31546788E+06      0.97129756E+05
             18.6992            300.0000      0.31546643E+06      0.97129753E+05
             18.8347            310.0000      0.31546503E+06      0.97129726E+05
             18.9702            320.0000      0.31546781E+06      0.97129745E+05
             19.1057            330.0000      0.31546636E+06      0.97129742E+05
             19.2412            340.0000      0.31546496E+06      0.97129716E+05
             19.3767            350.0000      0.31546774E+06      0.97129735E+05
             19.5122            360.0000      0.31546629E+06      0.97129732E+05
             19.6477             10.0000      0.31546490E+06      0.97129706E+05
             19.7832             20.0000      0.31546768E+06      0.97129726E+05
             19.9187             30.0000      0.31546623E+06      0.97129723E+05
             20.0542             40.0000      0.31546484E+06      0.97129697E+05
             20.1897             50.0000      0.31546762E+06      0.97129717E+05
             20.3252             60.0000      0.31546617E+06      0.97129714E+05
             20.4607             70.0000      0.31546478E+06      0.97129689E+05
             20.5962             80.0000      0.31546756E+06      0.97129708E+05
             20.7317             90.0000      0.31546612E+06      0.97129706E+05
             20.8672            100.0000      0.31546473E+06      0.97129680E+05
             21.0027            110.0000      0.31546751E+06      0.97129700E+05
             21.1382            120.0000      0.31546607E+06      0.97129698E+05
             21.2737            130.0000      0.31546468E+06      0.97129673E+05
             21.4092            140.0000      0.31546746E+06      0.97129693E+05
             21.5447            150.0000      0.31546602E+06      0.97129691E+05
             21.6802            160.0000      0.31546463E+06      0.97129665E+05
             21.8157            170.0000      0.31546741E+06      0.97129686E+05
             21.9512            180.0000      0.31546597E+06      0.97129684E+05
             22.0867            190.0000      0.31546458E+06      0.97129658E+05
             22.2222            200.0000      0.31546737E+06      0.97129679E+05
             22.3577            210.0000      0.31546593E+06      0.97129677E+05
             22.4932            220.0000      0.31546454E+06      0.97129652E+05
             22.6287            230.0000      0.31546732E+06      0.97129672E+05
             22.7642            240.0000      0.31546589E+06      0.97129671E+05
             22.8997            250.0000      0.31546450E+06      0.97129646E+05
             23.0352            260.0000      0.31546728E+06      0.97129666E+05
             23.1707            270.0000      0.31546585E+06      0.97129665E+05
             23.3062            280.0000      0.31546446E+06      0.97129640E+05
             23.4417            290.0000      0.31546725E+06      0.97129660E+05
             23.5772            300.0000      0.31546581E+06      0.97129659E+05
             23.7127            310.0000      0.31546442E+06      0.97129634E+05
             23.8482            320.0000      0.31546721E+06      0.97129655E+05
             23.9837            330.0000      0.31546577E+06      0.97129653E+05
             24.1192            340.0000      0.31546439E+06      0.97129629E+05
             24.2547            350.0000      0.31546718E+06      0.97129650E+05
             24.3902            360.0000      0.31546574E+06      0.97129648E+05
             24.5257             10.0000      0.31546436E+06      0.97129624E+05
             24.6612             20.0000      0.31546714E+06      0.97129645E+05
             24.7967             30.0000      0.31546571E+06      0.97129644E+05
             24.9322             40.0000      0.31546432E+06      0.97129619E+05
             25.0678             50.0000      0.31546711E+06      0.97129640E+05
             25.2033             60.0000      0.31546568E+06      0.97129639E+05
             25.3388             70.0000      0.31546429E+06      0.97129615E+05
             25.4743             80.0000      0.31546708E+06      0.97129636E+05
             25.6098             90.0000      0.31546565E+06      0.97129635E+05
             25.7453            100.0000      0.31546427E+06      0.97129610E+05
             25.8808            110.0000      0.31546706E+06      0.97129632E+05
             26.0163            120.0000      0.31546562E+06      0.97129631E+05
             26.1518            130.0000      0.31546424E+06      0.97129606E+05
             26.2873            140.0000      0.31546703E+06      0.97129628E+05
             26.4228            150.0000      0.31546560E+06      0.97129627E+05
             26.5583            160.0000      0.31546422E+06      0.97129602E+05
             26.6938            170.0000      0.31546700E+06      0.97129624E+05
             26.8293            180.0000      0.31546557E+06      0.97129623E+05
             26.9648            190.0000      0.31546419E+06      0.97129599E+05
             27.1003            200.0000      0.31546698E+06      0.97129620E+05
             27.2358            210.0000      0.31546555E+06      0.97129620E+05
             27.3713            220.0000      0.31546417E+06      0.97129595E+05
             27.5068            230.0000      0.31546696E+06      0.97129617E+05
             27.6423            240.0000      0.31546553E+06      0.97129616E+05
             27.7778            250.0000      0.31546415E+06      0.97129592E+05
             27.9133            260.0000      0.31546694E+06      0.97129614E+05
             28.0488            270.0000      0.31546551E+06      0.97129613E+05
             28.1843            280.0000      0.31546413E+06      0.97129589E+05
             28.3198            290.0000      0.31546692E+06      0.97129611E+05
             28.4553            300.0000      0.31546549E+06      0.97129610E+05
             28.5908            310.0000      0.31546411E+06      0.97129586E+05
