             Time[s]        Azimuth[deg]         Power[Watt]      Axial_Force[N]
             14.7696            269.7540      0.30310257E+06      0.88384583E+05
             14.9051            278.8343      0.30308416E+06      0.88384593E+05
             15.0407            287.9147      0.30308978E+06      0.88384606E+05
             15.1762            296.9950      0.30308426E+06      0.88384590E+05
             15.3117            306.0753      0.30307809E+06      0.88384629E+05
             15.4472            315.1556      0.30308757E+06      0.88384663E+05
             15.5827            324.2359      0.30308415E+06      0.88384638E+05
             15.7182            333.3162      0.30310073E+06      0.88384635E+05
             15.8537            342.3965      0.30309808E+06      0.88384637E+05
             15.9892            351.4768      0.30309515E+06      0.88384591E+05
             16.1247              0.5572      0.30310337E+06      0.88384532E+05
             16.2602              9.6375      0.30310598E+06      0.88384891E+05
             16.3957             18.7178      0.30311157E+06      0.88384851E+05
             16.5312             27.7981      0.30310078E+06      0.88384342E+05
             16.6667             36.8784      0.30308063E+06      0.88384347E+05
             16.8022             45.9587      0.30308808E+06      0.88384363E+05
             16.9377             55.0390      0.30307826E+06      0.88384352E+05
             17.0732             64.1193      0.30308974E+06      0.88384387E+05
             17.2087             73.1996      0.30308327E+06      0.88384440E+05
             17.3442             82.2800      0.30309102E+06      0.88384424E+05
             17.4797             91.3603      0.30309110E+06      0.88384431E+05
             17.6152            100.4406      0.30309817E+06      0.88384428E+05
             17.7507            109.5209      0.30310634E+06      0.88384407E+05
             17.8862            118.6012      0.30310067E+06      0.88384334E+05
             18.0217            127.6815      0.30309469E+06      0.88384299E+05
             18.1572            136.7618      0.30311128E+06      0.88384660E+05
             18.2927            145.8421      0.30309835E+06      0.88384153E+05
             18.4282            154.9225      0.30307824E+06      0.88384160E+05
             18.5637            164.0028      0.30308495E+06      0.88384171E+05
             18.6992            173.0831      0.30306851E+06      0.88384175E+05
             18.8347            182.1634      0.30308795E+06      0.88384191E+05
             18.9702            191.2437      0.30307893E+06      0.88384251E+05
             19.1057            200.3240      0.30308801E+06      0.88384256E+05
             19.2412            209.4043      0.30308783E+06      0.88384251E+05
             19.3767            218.4846      0.30310574E+06      0.88384258E+05
             19.5122            227.5650      0.30309853E+06      0.88384246E+05
             19.6477            236.6453      0.30309794E+06      0.88384180E+05
             19.7832            245.7256      0.30310529E+06      0.88384150E+05
             19.9187            254.8059      0.30310898E+06      0.88384510E+05
             20.0542            263.8862      0.30309931E+06      0.88384016E+05
             20.1897            272.9665      0.30310365E+06      0.88383980E+05
             20.3252            282.0468      0.30308493E+06      0.88384009E+05
             20.4607            291.1271      0.30308627E+06      0.88384040E+05
             20.5962            300.2075      0.30308512E+06      0.88384040E+05
             20.7317            309.2878      0.30307535E+06      0.88384100E+05
             20.8672            318.3681      0.30308680E+06      0.88384107E+05
             21.0027            327.4484      0.30308477E+06      0.88384114E+05
             21.1382            336.5287      0.30310196E+06      0.88384133E+05
             21.2737            345.6090      0.30309639E+06      0.88384119E+05
             21.4092            354.6893      0.30309524E+06      0.88384057E+05
             21.5447              3.7696      0.30310264E+06      0.88384016E+05
             21.6802             12.8500      0.30310661E+06      0.88384391E+05
             21.8157             21.9303      0.30310833E+06      0.88384335E+05
             21.9512             31.0106      0.30309909E+06      0.88383864E+05
             22.0867             40.0909      0.30308165E+06      0.88383892E+05
             22.2222             49.1712      0.30307261E+06      0.88383932E+05
             22.3577             58.2515      0.30308323E+06      0.88383917E+05
             22.4932             67.3318      0.30307705E+06      0.88383969E+05
             22.6287             76.4121      0.30308528E+06      0.88384017E+05
             22.7642             85.4924      0.30308210E+06      0.88383998E+05
             22.8997             94.5728      0.30309704E+06      0.88384011E+05
             23.0352            103.6531      0.30309493E+06      0.88384015E+05
             23.1707            112.7334      0.30309289E+06      0.88383972E+05
             23.3062            121.8137      0.30310099E+06      0.88383926E+05
             23.4417            130.8940      0.30310366E+06      0.88384296E+05
             23.5772            139.9743      0.30310789E+06      0.88384268E+05
             23.7127            149.0546      0.30309775E+06      0.88383770E+05
             23.8482            158.1349      0.30307900E+06      0.88383787E+05
             23.9837            167.2153      0.30308527E+06      0.88383819E+05
             24.1192            176.2956      0.30307831E+06      0.88383817E+05
             24.2547            185.3759      0.30308654E+06      0.88383870E+05
             24.3902            194.4562      0.30308213E+06      0.88383915E+05
             24.5257            203.5365      0.30307876E+06      0.88383900E+05
             24.6612            212.6168      0.30309566E+06      0.88383918E+05
             24.7967            221.6971      0.30309625E+06      0.88383933E+05
             24.9322            230.7774      0.30310631E+06      0.88383900E+05
             25.0678            239.8578      0.30309888E+06      0.88383853E+05
             25.2033            248.9381      0.30310131E+06      0.88384225E+05
             25.3388            258.0184      0.30310824E+06      0.88384196E+05
             25.4743            267.0987      0.30309572E+06      0.88383699E+05
             25.6098            276.1790      0.30307646E+06      0.88383713E+05
             25.7453            285.2593      0.30308403E+06      0.88383737E+05
             25.8808            294.3396      0.30306875E+06      0.88383736E+05
             26.0163            303.4199      0.30308570E+06      0.88383773E+05
             26.1518            312.5003      0.30307877E+06      0.88383844E+05
             26.2873            321.5806      0.30308644E+06      0.88383838E+05
             26.4228            330.6609      0.30308716E+06      0.88383854E+05
             26.5583            339.7412      0.30309461E+06      0.88383873E+05
             26.6938            348.8215      0.30310238E+06      0.88383858E+05
             26.8293            357.9018      0.30309683E+06      0.88383795E+05
             26.9648              6.9821      0.30309077E+06      0.88383771E+05
             27.1003             16.0624      0.30310779E+06      0.88384139E+05
             27.2358             25.1428      0.30309837E+06      0.88383637E+05
             27.3713             34.2231      0.30308515E+06      0.88383649E+05
             27.5068             43.3034      0.30308197E+06      0.88383673E+05
             27.6423             52.3837      0.30307059E+06      0.88383696E+05
             27.7778             61.4640      0.30308481E+06      0.88383709E+05
             27.9133             70.5443      0.30307520E+06      0.88383777E+05
             28.0488             79.6246      0.30308570E+06      0.88383790E+05
             28.1843             88.7049      0.30308439E+06      0.88383796E+05
             28.3198             97.7852      0.30310227E+06      0.88383811E+05
             28.4553            106.8656      0.30309549E+06      0.88383809E+05
             28.5908            115.9459      0.30309465E+06      0.88383750E+05
             28.7263            125.0262      0.30310253E+06      0.88383729E+05
             28.8618            134.1065      0.30310617E+06      0.88384095E+05
             28.9973            143.1868      0.30309588E+06      0.88383609E+05
             29.1328            152.2671      0.30309878E+06      0.88383583E+05
             29.2683            161.3474      0.30308173E+06      0.88383612E+05
             29.4038            170.4277      0.30308122E+06      0.88383666E+05
             29.5393            179.5081      0.30308257E+06      0.88383651E+05
             29.6748            188.5884      0.30308467E+06      0.88383725E+05
             29.8103            197.6687      0.30308431E+06      0.88383733E+05
             29.9458            206.7490      0.30308197E+06      0.88383749E+05
             30.0813            215.8293      0.30310036E+06      0.88383766E+05
