-180 0 0 0
-175 0.144259183884226 0.0099 0.0218
-170 0.284197240140583 0.0392 0.0434
-165 0.415493041141203 0.0871 0.0647
-160 0.53415785369113 0.1521 0.0855
-155 0.636535339028322 0.2322 0.1057
-150 0.719633947256563 0.325 0.125
-145 0.780877621520776 0.4277 0.1434
-140 0.818355093831713 0.5371 0.1607
-135 0.830986082282405 0.65 0.1768
-130 0.818355093831713 0.7629 0.1915
-125 0.780877621520776 0.8723 0.2048
-120 0.719633947256563 0.975 0.2165
-115 0.636535339028322 1.0678 0.2266
-110 0.53415785369113 1.1479 0.2349
-105 0.415493041141203 1.2129 0.2415
-100 0.284197240140583 1.2608 0.2462
-95 0.144259183884226 1.2901 0.249
-90 0 1.3 0.25
-85 -0.144259183884226 1.2901 0.249
-80 -0.284197240140583 1.2608 0.2462
-75 -0.415493041141203 1.2129 0.2415
-70 -0.53415785369113 1.1479 0.2349
-65 -0.636535339028322 1.0678 0.2266
-60 -0.719633947256563 0.975 0.2165
-55 -0.780877621520776 0.8723 0.2048
-50 -0.818355093831713 0.7629 0.1915
-45 -0.830986082282405 0.65 0.1768
-40 -0.807386077545585 0.5422 0.1416
-39 -0.800987484712011 0.5206 0.1346
-38 -0.777969170232788 0.4991 0.1276
-37 -0.796500159867686 0.4775 0.1205
-36 -0.790101567034111 0.4559 0.1135
-35 -0.775393113377712 0.4344 0.1065
-34 -0.777304381366962 0.4128 0.0994
-33 -0.770905788533387 0.3913 0.0924
-32 -0.76982550662642 0.3465 0.0447
-30 -0.762679026318792 0.2927 0.0327
-28 -0.755449447402935 0.2488 0.0208
-26 -0.749881840651643 0.2145 0.0102
-24 -0.744231135292122 0.1801 -0.0004
-22 -0.734674795345875 0.1513 -0.0089
-20 -0.733428316222451 0.1274 -0.0174
-18 -0.729439583027495 0.1085 -0.0229
-16 -0.733843809263592 0.0896 -0.0285
-14 -0.734757893954103 0.0698 -0.03
-12 -0.736419866118668 0.051 0
-10 -0.69711422442671 0.0176 0
-8 -0.523355034621459 0.0116 0
-6 -0.31976344446227 0.0086 0
-4 -0.108859176778995 0.0077 0
-2 0.101629597863138 0.0073 0
0 0.310954991990076 0.0074 0
2 0.517122639004341 0.0079 0
4 0.717057890401488 0.0085 0
6 0.912588915562538 0.0101 0
8 1.07803824454496 0.0126 0
10 1.11942135144263 0.0309 -0.0002
12 0.957877657046929 0.0502 -0.0006
14 0.976824139722967 0.0664 -0.0013
16 1.00200301801612 0.0964 -0.0023
18 1.05776218413727 0.135 -0.0035
20 1.12523825401861 0.1802 -0.1845
22 1.16977910802894 0.232 -0.1977
24 1.2026030582791 0.2983 -0.2133
26 1.21648052585321 0.3528 -0.2287
28 1.22146644234691 0.4243 -0.2434
30 1.21739461054372 0.4889 -0.2573
32 1.20875235528799 0.5549 -0.2701
33 1.20019319864048 0.5856 -0.1746
34 1.19587207101261 0.613 -0.1799
35 1.18257629369609 0.6394 -0.1851
36 1.17692558833657 0.6648 -0.19
37 1.17077629132768 0.6894 -0.1945
38 1.15598473906305 0.7131 -0.1988
39 1.14077769375729 0.736 -0.203
40 1.11701149180401 0.7581 -0.207
45 1.02917626290676 0.8578 -0.2241
50 0.893808630102955 0.9165 -0.1944
55 0.806721288679759 0.9757 -0.2054
60 0.719633947256563 1.025 -0.2165
65 0.636535339028322 1.0678 -0.2266
70 0.53415785369113 1.1479 -0.2349
75 0.415493041141203 1.2129 -0.2415
80 0.284197240140583 1.2608 -0.2462
85 0.144259183884226 1.2901 -0.249
90 0 1.3 -0.25
95 -0.144259183884226 1.2901 -0.249
100 -0.284197240140583 1.2608 -0.2462
105 -0.415493041141203 1.2129 -0.2415
110 -0.53415785369113 1.1479 -0.2349
115 -0.636535339028322 1.0678 -0.2266
120 -0.719633947256563 0.975 -0.2165
125 -0.780877621520776 0.8723 -0.2048
130 -0.818355093831713 0.7629 -0.1915
135 -0.830986082282405 0.65 -0.1768
140 -0.818355093831713 0.5371 -0.1607
145 -0.780877621520776 0.4277 -0.1434
150 -0.719633947256563 0.325 -0.125
155 -0.636535339028322 0.2322 -0.1057
160 -0.53415785369113 0.1521 -0.0855
165 -0.415493041141203 0.0871 -0.0647
170 -0.284197240140583 0.0392 -0.0434
175 -0.144259183884226 0.0099 -0.0218
180 0 0 0
